,individual,loss
28,NOGP_contrib143,0.6095528
31,NOGP_contrib128,0.4960524
48,OSBS_contrib116,0.49419722
53,OSBS_contrib4497,0.49968225
58,OSBS_contrib113,0.49202818
61,OSBS_contrib4496,0.5337484
62,OSBS_contrib4491,0.9719363
63,OSBS_contrib4481,0.78110164
0,OSBS_contrib87,0.5033485
1,OSBS_contrib106,0.69880176
4,OSBS_contrib4446,0.77780235
5,OSBS_contrib4453,0.75789857
10,OSBS_contrib4477,0.53903276
11,OSBS_contrib4478,0.53903276
12,OSBS_contrib4479,0.53900415
13,OSBS_contrib4480,0.68867666
14,OSBS_contrib4495,0.9471716
25,OSBS_contrib4567,0.544669
35,OSBS_contrib7402,0.5200332
37,OSBS_contrib4566,0.5214356
45,OSBS_contrib286,0.8343867
46,OSBS_contrib4571,0.88360196
7,OSBS_contrib302,0.49660003
8,OSBS_contrib4596,0.49659982
20,OSBS_contrib4600,0.5022657
21,OSBS_contrib4601,0.5022662
24,OSBS_contrib680,0.53887886
27,OSBS_contrib4589,0.7269728
31,OSBS_contrib455,0.5047638
49,OSBS_contrib489,0.62657094
51,OSBS_contrib4728,0.49988535
53,OSBS_contrib100,0.57788527
55,OSBS_contrib479,0.4965913
59,OSBS_contrib486,0.7933559
1,OSBS_contrib517,0.49214348
17,OSBS_contrib513,0.76617646
37,OSBS_contrib7472,0.52672213
44,OSBS_contrib4794,0.83861166
51,OSBS_contrib4798,0.6971017
54,OSBS_contrib4793,0.98416835
57,OSBS_contrib4797,0.50090796
58,OSBS_contrib4799,0.93507904
59,OSBS_contrib4800,0.89848703
60,OSBS_contrib4801,0.89848465
61,OSBS_contrib7540,0.51646036
4,OSBS_contrib4824,0.5647493
11,OSBS_contrib4820,0.4961653
14,OSBS_contrib4809,0.8141637
15,OSBS_contrib4811,0.5256771
17,OSBS_contrib694,0.49222863
25,OSBS_contrib688,0.69707644
27,OSBS_contrib691,0.7095492
28,OSBS_contrib692,0.8410858
30,OSBS_contrib7256,0.62846977
33,OSBS_contrib723,0.4875086
34,OSBS_contrib721,0.55210066
41,OSBS_contrib728,0.5077307
42,OSBS_contrib729,0.54141897
43,OSBS_contrib720,0.72650886
45,OSBS_contrib716,0.633522
46,OSBS_contrib722,0.6888478
50,OSBS_contrib7493,0.7181715
51,OSBS_contrib7494,0.7181715
54,OSBS_contrib360,0.7474427
55,OSBS_contrib836,0.66026294
9,OSBS_contrib857,0.53721124
10,OSBS_contrib4868,0.9870974
16,OSBS_contrib4914,0.6440794
18,OSBS_contrib860,0.72800267
24,OSBS_contrib865,0.56824327
25,OSBS_contrib866,0.5682708
28,OSBS_contrib894,0.49997455
30,OSBS_contrib881,0.48872343
40,OSBS_contrib882,0.5061374
45,OSBS_contrib869,0.5124448
46,OSBS_contrib888,0.48928565
47,OSBS_contrib890,0.49279195
49,OSBS_contrib909,0.49808764
62,OSBS_contrib914,0.71117896
2,OSBS_contrib4957,0.5053747
22,OSBS_contrib4958,0.60319823
24,OSBS_contrib1002,0.716097
31,OSBS_contrib1028,0.6973269
33,OSBS_contrib1035,0.50568974
44,OSBS_contrib1053,0.49260065
48,OSBS_contrib4976,0.5045556
59,OSBS_contrib1040,0.49469894
2,OSBS_contrib1062,0.49902275
6,OSBS_contrib1070,0.5274337
14,OSBS_contrib1075,0.9363497
15,OSBS_contrib1057,0.6348696
16,OSBS_contrib1058,0.6348588
31,OSBS_contrib1079,0.4992422
